delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,polygon_2.started,polygon_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,text.started,text.stopped,textbox.text,textbox.started,textbox.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
0.4,1000,exp,1,6,18,7,167.78075809963048,168.78351719956845,168.76321739982814,None,space,0.6012188005261123,168.76321739982814,None,169.7660075895954,None,170.27866539964452,None,150,170.27866539964452,None,170.27866539964452,None,19,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664, 4.760667099617422, 3.8669320000335574, 2.968038400169462, 3.111312299966812, 4.7192362998612225, 3.518540999852121, 2.744858399964869, 3.4388148998841643, 2.815760999917984, 7.273828099947423, 6.954484899993986, 9.343359000049531]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673, 4.760686099994928, 3.8669516001828015, 2.9680703999474645, 3.111328999977559, 4.719254700001329, 3.518559199757874, 2.7448761998675764, 3.438829299993813, 2.815779499709606, 7.273848699871451, 6.954502999782562, 9.343377199955285]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.1,1000,exp,1,7,19,9,179.61994969984517,180.63902190001681,180.5889580999501,None,space,0.27821370074525476,180.5889580999501,None,180.9720691898372,None,181.46858759969473,None,100,181.46858759969473,None,181.46858759969473,None,20,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664, 4.760667099617422, 3.8669320000335574, 2.968038400169462, 3.111312299966812, 4.7192362998612225, 3.518540999852121, 2.744858399964869, 3.4388148998841643, 2.815760999917984, 7.273828099947423, 6.954484899993986, 9.343359000049531, 2.231115700211376]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673, 4.760686099994928, 3.8669516001828015, 2.9680703999474645, 3.111328999977559, 4.719254700001329, 3.518559199757874, 2.7448761998675764, 3.438829299993813, 2.815779499709606, 7.273848699871451, 6.954502999782562, 9.343377199955285, 2.2311344002373517]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.1,400,unexp,1,8,20,0,183.6993265999481,184.70228669978678,184.6818474996835,None,space,0.3319003004580736,184.6818474996835,None,185.1183507898357,None,185.63133469969034,None,350,185.63133469969034,None,185.63133469969034,None,21,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664, 4.760667099617422, 3.8669320000335574, 2.968038400169462, 3.111312299966812, 4.7192362998612225, 3.518540999852121, 2.744858399964869, 3.4388148998841643, 2.815760999917984, 7.273828099947423, 6.954484899993986, 9.343359000049531, 2.231115700211376, 3.3966342001222074]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673, 4.760686099994928, 3.8669516001828015, 2.9680703999474645, 3.111328999977559, 4.719254700001329, 3.518559199757874, 2.7448761998675764, 3.438829299993813, 2.815779499709606, 7.273848699871451, 6.954502999782562, 9.343377199955285, 2.2311344002373517, 3.396652899682522]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.7,1000,exp,1,9,21,8,189.0287181995809,190.04761309968308,190.01028109993786,None,space,0.30259079998359084,190.01028109993786,None,191.02998398984784,None,191.54391929972917,None,100,191.54391929972917,None,191.54391929972917,None,22,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664, 4.760667099617422, 3.8669320000335574, 2.968038400169462, 3.111312299966812, 4.7192362998612225, 3.518540999852121, 2.744858399964869, 3.4388148998841643, 2.815760999917984, 7.273828099947423, 6.954484899993986, 9.343359000049531, 2.231115700211376, 3.3966342001222074, 7.054486299864948]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673, 4.760686099994928, 3.8669516001828015, 2.9680703999474645, 3.111328999977559, 4.719254700001329, 3.518559199757874, 2.7448761998675764, 3.438829299993813, 2.815779499709606, 7.273848699871451, 6.954502999782562, 9.343377199955285, 2.2311344002373517, 3.396652899682522, 7.054505399893969]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.1,1000,exp,1,10,22,3,198.5852908999659,199.58768559992313,199.5679607996717,None,space,0.8877082006074488,199.5679607996717,None,200.60068728956395,None,201.10025579994544,None,200,201.10025579994544,None,201.10025579994544,None,23,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664, 4.760667099617422, 3.8669320000335574, 2.968038400169462, 3.111312299966812, 4.7192362998612225, 3.518540999852121, 2.744858399964869, 3.4388148998841643, 2.815760999917984, 7.273828099947423, 6.954484899993986, 9.343359000049531, 2.231115700211376, 3.3966342001222074, 7.054486299864948, 4.5959429000504315]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673, 4.760686099994928, 3.8669516001828015, 2.9680703999474645, 3.111328999977559, 4.719254700001329, 3.518559199757874, 2.7448761998675764, 3.438829299993813, 2.815779499709606, 7.273848699871451, 6.954502999782562, 9.343377199955285, 2.2311344002373517, 3.396652899682522, 7.054505399893969, 4.595962500199676]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.7,1000,exp,1,11,23,11,205.69512119982392,206.69890109961852,206.6774982996285,None,space,0.7369742002338171,206.6774982996285,None,208.11366518954748,None,208.60918409982696,None,250,208.60918409982696,None,208.60918409982696,None,24,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664, 4.760667099617422, 3.8669320000335574, 2.968038400169462, 3.111312299966812, 4.7192362998612225, 3.518540999852121, 2.744858399964869, 3.4388148998841643, 2.815760999917984, 7.273828099947423, 6.954484899993986, 9.343359000049531, 2.231115700211376, 3.3966342001222074, 7.054486299864948, 4.5959429000504315, 2.2275356999598444]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673, 4.760686099994928, 3.8669516001828015, 2.9680703999474645, 3.111328999977559, 4.719254700001329, 3.518559199757874, 2.7448761998675764, 3.438829299993813, 2.815779499709606, 7.273848699871451, 6.954502999782562, 9.343377199955285, 2.2311344002373517, 3.396652899682522, 7.054505399893969, 4.595962500199676, 2.2275543003343046]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.7,400,unexp,2,0,24,2,210.84104939969257,211.8433645996265,211.8233924997039,None,space,0.38573560025542974,211.8233924997039,None,212.90909908986652,None,213.40445829974487,None,500,213.40445829974487,None,213.40445829974487,None,25,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664, 4.760667099617422, 3.8669320000335574, 2.968038400169462, 3.111312299966812, 4.7192362998612225, 3.518540999852121, 2.744858399964869, 3.4388148998841643, 2.815760999917984, 7.273828099947423, 6.954484899993986, 9.343359000049531, 2.231115700211376, 3.3966342001222074, 7.054486299864948, 4.5959429000504315, 2.2275356999598444, 3.258609800133854]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673, 4.760686099994928, 3.8669516001828015, 2.9680703999474645, 3.111328999977559, 4.719254700001329, 3.518559199757874, 2.7448761998675764, 3.438829299993813, 2.815779499709606, 7.273848699871451, 6.954502999782562, 9.343377199955285, 2.2311344002373517, 3.396652899682522, 7.054505399893969, 4.595962500199676, 2.2275543003343046, 3.25862850015983]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.7,1000,exp,2,1,25,8,216.66885109990835,217.68757739989087,217.63840499985963,None,space,0.5551023003645241,217.63840499985963,None,218.90399878979662,None,219.41610889974982,None,400,219.41610889974982,None,219.41610889974982,None,26,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664, 4.760667099617422, 3.8669320000335574, 2.968038400169462, 3.111312299966812, 4.7192362998612225, 3.518540999852121, 2.744858399964869, 3.4388148998841643, 2.815760999917984, 7.273828099947423, 6.954484899993986, 9.343359000049531, 2.231115700211376, 3.3966342001222074, 7.054486299864948, 4.5959429000504315, 2.2275356999598444, 3.258609800133854, 3.12636849982664]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673, 4.760686099994928, 3.8669516001828015, 2.9680703999474645, 3.111328999977559, 4.719254700001329, 3.518559199757874, 2.7448761998675764, 3.438829299993813, 2.815779499709606, 7.273848699871451, 6.954502999782562, 9.343377199955285, 2.2311344002373517, 3.396652899682522, 7.054505399893969, 4.595962500199676, 2.2275543003343046, 3.25862850015983, 3.126389999873936]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.7,1000,exp,2,2,26,11,222.52966240001842,223.53306199982762,223.51255759969354,None,space,0.3999931002035737,223.51255759969354,None,224.6148191899527,None,225.11036799987778,None,300,225.11036799987778,None,225.11036799987778,None,27,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664, 4.760667099617422, 3.8669320000335574, 2.968038400169462, 3.111312299966812, 4.7192362998612225, 3.518540999852121, 2.744858399964869, 3.4388148998841643, 2.815760999917984, 7.273828099947423, 6.954484899993986, 9.343359000049531, 2.231115700211376, 3.3966342001222074, 7.054486299864948, 4.5959429000504315, 2.2275356999598444, 3.258609800133854, 3.12636849982664, 2.165680699981749]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673, 4.760686099994928, 3.8669516001828015, 2.9680703999474645, 3.111328999977559, 4.719254700001329, 3.518559199757874, 2.7448761998675764, 3.438829299993813, 2.815779499709606, 7.273848699871451, 6.954502999782562, 9.343377199955285, 2.2311344002373517, 3.396652899682522, 7.054505399893969, 4.595962500199676, 2.2275543003343046, 3.25862850015983, 3.126389999873936, 2.1656973003409803]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
0.1,400,unexp,2,3,27,0,227.2745780996047,228.27760049980134,228.25792709970847,None,space,0.3550493004731834,228.25792709970847,None,228.7444028895814,None,229.25715520000085,None,200,229.25715520000085,None,229.25715520000085,None,28,"[4.926587000023574, 3.6587441000156105, 6.830130400136113, 4.260428300127387, 3.1372040999121964, 10.600117300171405, 4.031299399677664, 4.760667099617422, 3.8669320000335574, 2.968038400169462, 3.111312299966812, 4.7192362998612225, 3.518540999852121, 2.744858399964869, 3.4388148998841643, 2.815760999917984, 7.273828099947423, 6.954484899993986, 9.343359000049531, 2.231115700211376, 3.3966342001222074, 7.054486299864948, 4.5959429000504315, 2.2275356999598444, 3.258609800133854, 3.12636849982664, 2.165680699981749, 4.341372599825263]","[4.926606100052595, 3.6587633001618087, 6.830147400032729, 4.260447300039232, 3.137223199941218, 10.600136400200427, 4.031315499916673, 4.760686099994928, 3.8669516001828015, 2.9680703999474645, 3.111328999977559, 4.719254700001329, 3.518559199757874, 2.7448761998675764, 3.438829299993813, 2.815779499709606, 7.273848699871451, 6.954502999782562, 9.343377199955285, 2.2311344002373517, 3.396652899682522, 7.054505399893969, 4.595962500199676, 2.2275543003343046, 3.25862850015983, 3.126389999873936, 2.1656973003409803, 4.341391099616885]",681866,001,2023-11-09_22h14.33.699,tutorial7,2022.1.4,60.414017276154865,
