trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
15,0,15,0,5,53.43447340000421,53.43447340000421,0.06620040000416338,54.468146700179204,[0.12037037037037036],[0.3576388888888889],[1],[0],[0],[1.7189535999204963],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
16,0,16,0,10,55.249550600070506,55.249550600070506,0.09458999987691641,56.31628360017203,[-0.10648148148148148],[-0.2824074074074074],[1],[0],[0],[1.7400849000550807],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
17,0,17,0,10,57.11456710007042,57.11456710007042,0.095505699981004,58.18109480012208,[0.27199074074074076],[-0.4479166666666667],[1],[0],[0],[1.8087110000196844],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
18,0,18,0,10,58.99604710005224,58.99604710005224,0.07748760003596544,60.0628343001008,[0.3414351851851852],[-0.3333333333333333],[1],[0],[0],[2.340068400138989],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
19,0,19,0,5,61.42710610013455,61.42710610013455,0.06312369997613132,62.4438844001852,[-0.49074074074074076],[0.4849537037037037],[1],[0],[0],[2.8565734999720007],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
20,0,20,0,5,64.3588304000441,64.3588304000441,0.06911269994452596,65.39761050022207,[-0.4930555555555556],[0.052083333333333336],[1],[0],[0],[2.5460772998631],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
21,0,21,0,10,67.02217040001415,67.02217040001415,0.1023993999697268,68.08870740002021,[-0.10416666666666667],[0.05555555555555555],[1],[0],[0],[1.7529627999756485],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
22,0,22,0,5,68.85426810011268,68.85426810011268,0.06016650004312396,69.87043900019489,[0.08680555555555555],[-0.3136574074074074],[1],[0],[0],[2.2898876999970526],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
23,0,23,0,5,71.20129980007187,71.20129980007187,0.06054099998436868,72.23452550009824,[-0.023148148148148147],[-0.024305555555555556],[1],[0],[0],[1.7570011999923736],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
24,0,24,0,5,73.03272390016355,73.03272390016355,0.060652000131085515,74.06659400020726,[-0.21064814814814814],[-0.15046296296296297],[1],[0],[0],[2.840630799997598],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
