pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
150,v,24,1,97,1,,,,,303.2194173000171,304.21802670002216,304.21802670002216,304.21802670002216,304.21802670002216,304.2511830999865,305.2334039999987,305.2334039999987,v,1,0.40308449999429286,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,24,2,98,2,,,,,305.6999166000169,306.698928400001,306.698928400001,306.698928400001,306.698928400001,306.73240290000103,307.69783730001654,307.69783730001654,c,1,0.890903800027445,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-150,z,24,3,99,3,,,,,308.6303543000249,309.629405100015,309.629405100015,309.629405100015,309.629405100015,309.6627224999829,310.6281569999992,310.6281569999992,z,1,0.3867653000052087,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,25,0,100,0,,,,,311.061675200006,312.06042459997116,312.06042459997116,312.06042459997116,312.06042459997116,312.0937929999782,313.0598398000002,313.0598398000002,x,1,0.6193712000385858,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
150,v,25,1,101,1,,,,,313.72575799998594,314.7245232000132,314.7245232000132,314.7245232000132,314.7245232000132,314.75804749998497,315.72370989999035,315.72370989999035,v,1,0.49373809999087825,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,25,2,102,2,,,,,316.25683229998685,317.2554128000047,317.2554128000047,317.2554128000047,317.2554128000047,317.28921269997954,318.2545004999847,318.2545004999847,c,1,0.4332830000203103,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-150,z,25,3,103,3,,,,,318.7208593999967,319.7198427999974,319.7198427999974,319.7198427999974,319.7198427999974,319.7529924000264,320.71915740001714,320.71915740001714,z,1,0.38053249998483807,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,26,0,104,0,,,,,321.1520098000183,322.15110979997553,322.15110979997553,322.15110979997553,322.15110979997553,322.1846078999806,323.1669605000061,323.1669605000061,x,1,0.45274800003971905,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
150,v,26,1,105,1,,,,,323.6662950000027,324.66524890001165,324.66524890001165,324.66524890001165,324.66524890001165,324.6987243000185,325.66438630002085,325.66438630002085,c,0,0.3983898999867961,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,26,2,106,2,,,,,326.0973893000046,327.0966415000148,327.0966415000148,327.0966415000148,327.0966415000148,327.12953430000925,328.0954901999794,328.0954901999794,c,1,0.449427800020203,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-150,z,26,3,107,3,,,,,328.5951142000267,329.5941517999745,329.5941517999745,329.5941517999745,329.5941517999745,329.6274170000106,330.59339390002424,330.59339390002424,z,1,0.6746140999603085,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,27,0,108,0,,,,,331.3260559000191,332.3249415999744,332.3249415999744,332.3249415999744,332.3249415999744,332.35842250002315,333.32392569998046,333.32392569998046,x,1,0.7262308999779634,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
150,v,27,1,109,1,,,,,334.08981360000325,335.08882110001286,335.08882110001286,335.08882110001286,335.08882110001286,335.1221689999802,336.08871969999745,336.08871969999745,v,1,0.39416719996370375,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,27,2,110,2,,,,,336.52077820000704,337.5199422999867,337.5199422999867,337.5199422999867,337.5199422999867,337.5533750000177,338.51942530000815,338.51942530000815,c,1,0.5701283999951556,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-150,z,27,3,111,3,,,,,339.1518443999812,340.15103629999794,340.15103629999794,340.15103629999794,340.15103629999794,340.1843238999718,341.15011240000604,341.15011240000604,z,1,0.6577770000440069,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,28,0,112,0,,,,,341.8488208000199,342.84830319997855,342.84830319997855,342.84830319997855,342.84830319997855,342.88167919998523,343.84748539997963,343.84748539997963,x,1,0.6626972000231035,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
150,v,28,1,113,1,,,,,344.5468056999962,345.5306102000177,345.5306102000177,345.5306102000177,345.5306102000177,345.5477380999946,346.56151049997425,346.56151049997425,v,1,0.5343316000071354,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,28,2,114,2,,,,,347.16098200000124,348.16029379999964,348.16029379999964,348.16029379999964,348.16029379999964,348.1936709000147,349.15916209999705,349.15916209999705,c,1,0.4795123999938369,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-150,z,28,3,115,3,,,,,349.6921828999766,350.69119209999917,350.69119209999917,350.69119209999917,350.69119209999917,350.7242555000121,351.69034839997767,351.69034839997767,z,1,0.4183451000135392,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,29,0,116,0,,,,,352.15611839998746,353.15531850000843,353.15531850000843,353.15531850000843,353.15531850000843,353.18896010000026,354.1543682999909,354.1543682999909,x,1,0.3332424000254832,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
150,v,29,1,117,1,,,,,354.5207443999825,355.5201880999957,355.5201880999957,355.5201880999957,355.5201880999957,355.5531420999905,356.51885039999615,356.51885039999615,v,1,0.4409351999638602,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,29,2,118,2,,,,,357.0182512999745,358.01782269997057,358.01782269997057,358.01782269997057,358.01782269997057,358.05067989998497,359.0164526000153,359.0164526000153,c,1,0.44946239999262616,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-150,z,29,3,119,3,,,,,359.5161346999812,360.5150420999853,360.5150420999853,360.5150420999853,360.5150420999853,360.548331100028,361.51441509998403,361.51441509998403,z,1,1.0881713000126183,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,30,0,120,0,,,,,362.64670240000123,363.64584289997583,363.64584289997583,363.64584289997583,363.64584289997583,363.6796810000087,364.64450840000063,364.64450840000063,x,1,0.3162095999578014,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
150,v,30,1,121,1,,,,,365.0111875999719,366.01003280002624,366.01003280002624,366.01003280002624,366.01003280002624,366.0433742000023,367.00903429999016,367.00903429999016,v,1,0.4830689000082202,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,30,2,122,2,,,,,367.54141679999884,368.5410637999885,368.5410637999885,368.5410637999885,368.5410637999885,368.57405769999605,369.54036949999863,369.54036949999863,c,1,0.618620099965483,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
