trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
162,0,162,0,620.7934498998802,621.7956453999504,up,1,1.0995568002108485,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
163,0,163,0,622.9081460000016,623.9103520999197,down,1,1.0905362002085894,None,-4,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
164,0,164,0,625.0229162999894,626.0247267999221,down,1,0.6467099001165479,None,-5,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
165,0,165,0,626.688084299909,627.6900333999656,up,1,0.7323511000722647,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
166,0,166,0,628.4362145999912,629.4385959999636,up,0,0.6915426000487059,None,-2,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
167,0,167,0,630.151399999857,631.15348670003,down,1,0.8024848999921232,None,-5,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
168,0,168,0,631.9828995999414,632.9841022000182,down,0,1.699578900123015,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
169,0,169,0,634.7136935999151,635.715693499893,down,0,0.958748500328511,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
170,0,170,0,636.7117762998678,637.7306587998755,up,1,0.7836641001049429,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
171,0,171,0,638.5105438998435,639.5124438998755,down,1,0.7222927999682724,None,-4,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
172,0,172,0,640.2588878998067,641.2606498999521,up,1,0.7326279000844806,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
173,0,173,0,642.0071331998333,643.0090482998639,down,1,0.9607547000050545,None,1,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
174,0,174,0,643.9887235998176,644.9902600999922,up,0,1.012082900153473,None,-5,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
175,0,175,0,646.0198698998429,647.0221008998342,up,1,1.458815700141713,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
176,0,176,0,648.5011022000108,649.5027336999774,down,1,0.69725720025599,None,3,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
177,0,177,0,650.2157276999205,651.2182185000274,down,0,0.9010799000971019,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
178,0,178,0,652.1474427999929,653.1492504999042,down,1,0.7992095001973212,None,3,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
179,0,179,0,653.9623155998997,654.9643446998671,up,1,0.6146615000907332,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
180,0,180,0,655.5943130999804,656.596151900012,up,1,0.8314934000372887,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
181,0,181,0,657.4426780999638,658.4446083998773,down,1,0.6381341002415866,None,-4,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
182,0,182,0,659.1241216999479,660.143518100027,up,1,0.9047276000492275,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
183,0,183,0,661.0392745998688,662.0413988998625,up,0,0.8986231002490968,None,1,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
184,0,184,0,662.9541350998916,663.9560975998174,down,1,1.395840800134465,None,1,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
185,0,185,0,665.3685253998265,666.3704214999452,up,0,0.6637543002143502,None,-3,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
186,0,186,0,667.0499400999397,668.0520719999913,up,1,1.4668074001092464,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
187,0,187,0,669.5479585998692,670.5669588998426,down,0,0.7678644999396056,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
188,0,188,0,671.3463186998852,672.3483915999532,up,0,0.6873243001755327,None,-2,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
189,0,189,0,673.0611045998521,674.0805049999617,up,1,0.6992907002568245,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
190,0,190,0,674.7929946000222,675.7947046000045,up,1,1.365764900110662,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
191,0,191,0,677.1749292998575,678.1756066998933,up,0,0.6662492000032216,None,-2,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
192,0,192,0,678.8720439998433,679.8722705999389,down,1,0.7515398000832647,None,1,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
193,0,193,0,680.6538147998508,681.6560470999684,down,1,0.7346934000961483,None,-5,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
194,0,194,0,682.4192035000306,683.4211899999063,up,1,0.9308919999748468,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
195,0,195,0,684.367448899895,685.3690431998111,up,1,2.2923228002619,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
196,0,196,0,687.6808101998176,688.6828246999066,up,1,0.8430584000889212,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
197,0,197,0,689.5458892998286,690.5478185999673,down,1,0.6500506000593305,None,-4,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
198,0,198,0,691.2108155000024,692.2129200999625,up,0,2.7173684001900256,None,4,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
199,0,199,0,694.9571791000199,695.9592555998825,up,0,1.4162585001904517,None,1,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
